name,description,life_max,life_min,male_weight_max,male_weight_min,female_weight_max,female_weight_min,hypoallergenic
Golden Retriever,"The Golden Retriever is a large and muscular breed of dog that was originally bred in Scotland for retrieving game. They are intelligent, friendly, and eager to please, and make excellent family pets.",14,12,34,29,32,25,False
Gordon Setter,"The Gordon Setter is a large and athletic breed of dog that was originally bred for hunting. They are intelligent, energetic, and eager to please, and make excellent companion dogs.",14,12,32,25,32,25,False
Grand Basset Griffon Vendéen,"The Grand Basset Griffon Vendéen is a medium-sized breed of scent hound from the Vendéen region of France. These dogs are medium in size, with a long and wiry coat of fur. They have an energetic and cheerful demeanor, with an instinct for hunting and tracking. They are highly trainable and intelligent, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",15,12,30,20,30,20,False
Great Dane,"The Great Dane is a large and powerful breed of dog that was originally bred in Germany for hunting large game. They are intelligent, loyal, and gentle, and make excellent companion dogs.",10,8,54,45,54,45,False
Greater Swiss Mountain Dog,"The Greater Swiss Mountain Dog is a large and powerful breed of dog that was originally bred in Switzerland for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",10,8,70,50,60,45,False
Great Pyrenees,"The Great Pyrenees is a large and powerful breed of dog that was originally bred in the Pyrenees Mountains for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",12,10,45,35,45,35,False
Greyhound,"The Greyhound is a sleek, athletic breed that is known for its speed, grace, and endurance. This breed is native to the British Isles, where it was originally used for coursing game and racing.",12,10,40,25,40,25,False
Hamiltonstovare,"The Hamiltonstovare is a medium-sized gundog from Sweden. They are friendly, loyal, and intelligent, and make great family pets. Hamiltonstovares have a thick, double coat that can be black and white, or golden and white in color. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",14,12,25,20,25,20,False
Hanoverian Scenthound,"The Hanoverian Scenthound is a medium-sized breed of scent hound from the Hanover region of Germany. These dogs are medium in size, with a short and wiry coat of fur. They have a friendly and energetic demeanor, with an instinct for hunting and tracking. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",14,12,25,20,25,20,False
Harrier,"The Harrier is a medium-sized hound breed that was historically used for hunting hares and other small game. It is believed to have descended from a combination of Foxhound, Greyhound, and other hound breeds. The Harrier is an active and energetic breed with a friendly, even temperament and is typically very eager to please. It stands between 19-21 inches at the shoulder, is typically tri-colored, and has a dense, medium-length coat.",15,12,25,20,25,20,False
Havanese,"The Havanese is a small and playful breed of dog that was originally bred in Cuba as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,5,3,5,3,False
Hokkaido,"The Hokkaido is a medium-sized breed of dog from the island of Hokkaido in Japan. These dogs are medium in size, with a thick double coat of fur to protect them from the cold. They have a dignified and loyal demeanor, making them excellent guard and companion dogs. They are intelligent and trainable, but require firm and consistent training to be obedient. They are brave and alert, with an instinct to protect their family and property.",15,12,30,20,30,20,False
Hovawart,"The Hovawart is a large and powerful breed of dog that was originally bred in Germany for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",14,12,45,30,40,25,False
Ibizan Hound,"The Ibizan Hound is a medium-sized hunting dog from the Balearic Islands of Spain. They are active, friendly, and intelligent, and make great family pets. Ibizan Hounds have a short, glossy coat that is usually white with red or chestnut markings. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,25,20,25,20,False
Icelandic Sheepdog,"The Icelandic Sheepdog is a small and energetic breed of dog that was originally bred in Iceland for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",16,14,20,14,20,14,False
Irish Red and White Setter,"The Irish Red and White Setter is a medium-sized breed of dog that was originally bred in Ireland for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,32,25,32,25,False
Irish Setter,"The Irish Setter is a medium-sized breed of dog that was originally bred for hunting. They are friendly, energetic, and intelligent, and make excellent companion dogs.",14,12,32,25,32,25,False
Irish Terrier,"The Irish Terrier is a medium-sized, energetic breed that is known for its intelligence, courage, and loyalty. This breed is native to Ireland, where it was originally used to hunt small game and vermin.",15,12,9,7,9,7,False
Irish Water Spaniel,"The Irish Water Spaniel is a large breed of retrieving dog from Ireland. These dogs are large in size, with a long and wavy coat of fur. They have a lively and energetic demeanor, making them excellent working dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",14,12,32,25,32,25,True
Irish Wolfhound,"The Irish Wolfhound is a large and muscular breed of dog that was originally bred for hunting wolves. They are gentle, intelligent, and loyal, and make excellent family pets.",8,6,90,45,90,45,False
Italian Greyhound,"The Italian Greyhound is a small and slender breed of dog that was originally bred for hunting small game. They are gentle, intelligent, and affectionate, and make excellent companion dogs.",16,14,5,3,5,3,True
Jagdterrier,"The Jagdterrier is a small and agile breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,10,7,10,7,False
Japanese Akitainu,"The Japanese Akitainu is a large and powerful breed of dog that was originally developed in Japan for dog fighting. They are intelligent, loyal, and protective, and make excellent guard dogs.",15,12,50,35,45,30,False
Japanese Chin,"The Japanese Chin is a small, elegant dog breed with a distinctive, wedge-shaped head and a long, silky coat that can be black, white, or red in color. They are known for their friendly, playful nature and their agility, and were originally bred as companions for the aristocracy in Japan.",14,12,4,2,4,2,False
Japanese Spitz,"The Japanese Spitz is a small, active breed with a long, fluffy coat. They have a triangular head and medium-sized, dark eyes with a friendly expression that is often described as “smiling.” The Japanese Spitz is an intelligent, loyal breed that loves to be around its family and is known for its affectionate nature.",15,12,7,5,7,5,False
Japanese Terrier,"The Japanese Terrier is a small breed of terrier from Japan. These dogs are small in size, with a short and wiry coat of fur. They have a lively and energetic demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.",20,15,4,2,4,2,False
Jindo,"The Jindo is a medium-sized breed of dog that was originally bred in Korea for hunting and guarding. They are intelligent, independent, and alert, and make excellent companion dogs.",15,12,15,10,15,10,False
Kai Ken,"The Kai Ken is a medium-sized dog breed with a distinctive brindle coat and a strong, muscular build. They are intelligent, loyal, and alert, and were originally bred for hunting game in the mountains of Japan.",15,12,20,15,20,15,False
Karelian Bear Dog,"The Karelian Bear Dog is a medium-sized breed that originated in Finland. They have a thick, double coat, and come in a variety of colors. They are an active and energetic breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions. They are also excellent guard dogs, and are known for their bravery and courage.",15,12,30,20,30,20,False
Keeshond,"The Keeshond is a medium-sized breed of dog that was originally bred in the Netherlands for guarding and protecting property. They are intelligent, friendly, and playful, and make excellent companion dogs.",15,12,18,13,18,13,False
Kerry Blue Terrier,"The Kerry Blue Terrier is a medium-sized terrier breed that was developed in Ireland. It is an active and intelligent breed that is loyal and devoted to its family. The Kerry Blue Terrier stands between 17-19 inches at the shoulder and has a long, wavy coat that can come in various colors.",14,12,17,13,17,13,True
Kishu Ken,"The Kishu Ken is a medium-sized breed of dog that was originally bred in Japan for hunting small game. They are intelligent, independent, and alert, and make excellent hunting dogs.",15,12,30,20,30,20,False
Komondor,"The Komondor is a large, imposing breed that is known for its distinctive white, corded coat and its independent, protective nature. This breed is native to Hungary, where it was originally used to guard flocks of sheep and cattle.",12,10,70,50,60,45,False
Kromfohrlander,"The Kromfohrlander is a small to medium-sized breed of dog that originated in Germany. It is an active and energetic breed that is intelligent, loyal, and friendly. The Kromfohrlander stands between 14-19 inches at the shoulder and has a short, wiry coat that comes in various colors and patterns.",14,12,6,5,6,5,False
Kuvasz,"The Kuvasz is a large, muscular breed that was originally bred to protect livestock. It is intelligent and loyal, but can be reserved with strangers.",14,12,50,35,45,30,False
Labrador Retriever,"The Labrador Retriever is a large and muscular breed of dog that was originally bred in Canada for retrieving game. They are intelligent, friendly, and eager to please, and make excellent family pets.",14,12,32,25,32,25,False
Lagotto Romagnolo,"The Lagotto Romagnolo is a small and agile breed of dog that was originally bred in Italy for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,20,14,20,14,False
Lakeland Terrier,"The Lakeland Terrier is a small, agile terrier breed with a wiry, weather-resistant coat and a distinctive plumed tail.",15,12,9,7,9,7,False
Lancashire Heeler,The Lancashire Heeler is a small to medium-sized breed of dog that was developed in England. It is an active and intelligent breed that is loyal and friendly. The Lancashire Heeler stands between 11-13 inches at the shoulder and has a short and dense coat that comes in various colors and patterns.,15,12,11,8,11,8,False
Lapponian Herder,"The Lapponian Herder is a small to medium-sized, spitz-type herding dog native to Finland.",14,12,20,15,20,15,False
Leonberger,"The Leonberger is a large and powerful breed of dog that was originally bred in Germany for working on farms. They are intelligent, gentle, and loyal, and make excellent family pets.",10,8,80,70,65,55,False
Lhasa Apso,"The Lhasa Apso is a small and playful breed of dog that was originally bred in Tibet as a companion dog. They are intelligent, independent, and affectionate, and make excellent family pets.",16,14,30,20,30,20,False
Löwchen,"The Löwchen is a small, active breed with a short, wavy coat. They have a small, wedge-shaped head with large, dark eyes and a lively expression. The Löwchen is a playful, loyal breed that loves to be around its family and is known for its eagerness to please and its lively, friendly nature.",15,12,7,5,7,5,False
Maltese,"The Maltese is a small, elegant breed with a long, silky coat. They have a round head with a short muzzle and large, black eyes with a gentle expression. The Maltese is an affectionate, happy breed that loves to be around its family and is known for its gentle and playful nature.",14,12,4,3,4,3,True
Manchester Terrier (Standard),"The Manchester Terrier (Standard) is a small, lively terrier breed from England. They are active and energetic, but also loyal and affectionate. Manchester Terriers have a sleek, short-haired coat that is usually black-and-tan in color. They are intelligent, easy to train, and make great family pets.",15,12,7,6,7,6,False
Manchester Terrier (Toy),"The Manchester Terrier (Toy) is a small, energetic breed that was originally bred to hunt rats.",15,12,5,3,5,3,False
Mastiff,"The Mastiff is a large and powerful breed of dog that was originally bred for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",8,6,90,50,70,45,False
Miniature American Shepherd,"The Miniature American Shepherd is a small and energetic breed of dog that was originally bred in the United States for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",14,12,14,7,14,7,False
Miniature Bull Terrier,"The Miniature Bull Terrier is a small and energetic breed of dog that was originally bred in England for bull baiting. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15,12,14,8,14,8,False
Miniature Pinscher,"The Miniature Pinscher is a small breed of dog that originated in Germany. It is a compact and lively breed, with a short, smooth coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Miniature Pinscher is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",16,14,4,2,4,2,True
Miniature Schnauzer,"The Miniature Schnauzer is a small breed that originated in Germany in the late 19th century. They have a double coat of wiry fur, and come in a variety of colors. They are an intelligent and active breed, and make good family companions. They are alert, and make good watchdogs, and are loyal and devoted to their owners.",15,12,7,5,7,5,True
Mountain Cur,"The Mountain Cur is a large and powerful breed of dog that was originally bred in the United States for hunting and guarding. They are intelligent, loyal, and protective, and make excellent working dogs.",15,12,30,20,30,20,False
Mudi,The Mudi is a small to medium-sized dog breed that originated in Hungary. They are known for their intelligence and versatility.,15,12,15,10,15,10,False
Neapolitan Mastiff,"The Neapolitan Mastiff is a large, powerful breed with a short, thick coat. They have a large, rectangular head and a massive, muscular body, with a deep, broad chest and a thick, powerful neck. The Neapolitan Mastiff is a loyal and devoted breed, with a quiet, even temperament and a strong protective instinct.",11,9,70,50,60,45,False
Nederlandse Kooikerhondje,"The Nederlandse Kooikerhondje is a small and energetic breed of dog that was originally bred in the Netherlands for duck hunting. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15,12,15,10,15,10,False
Newfoundland,"The Newfoundland is a large and muscular breed of dog that was originally bred for working on boats and in the water. They are gentle and intelligent, and make excellent family pets.",10,8,70,45,70,45,False
Norfolk Terrier,"The Norfolk Terrier is a small and energetic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15,12,6,5,6,5,False
Norrbottenspets,"The Norrbottenspets is a small and playful breed of dog that was originally bred in Sweden for hunting small game. They are intelligent, energetic, and affectionate, and make excellent companion dogs.",15,12,10,8,10,8,False
Norwegian Buhund,"The Norwegian Buhund is a medium-sized breed of dog that was originally bred in Norway for herding and guarding livestock. They are intelligent, friendly, and energetic, and make excellent working dogs.",14,12,16,14,16,14,False
Norwegian Elkhound,"The Norwegian Elkhound is an ancient breed of Spitz-type hunting and guard dog from Norway. They are strong and powerful, yet friendly and loyal. Norwegian Elkhounds have a thick, double coat with a long, profuse undercoat and a short, thick outer coat. They come in various colors, including black and grey. They are independent and intelligent, and make great family pets.",15,12,25,20,23,18,False
Norwegian Lundehund,"The Norwegian Lundehund is a small and agile breed of dog that was originally bred in Norway for hunting puffins. They are intelligent, playful, and energetic, and make excellent companion dogs.",15,12,9,7,8,6,False
Norwich Terrier,"The Norwich Terrier is a small breed of dog that originated in England. It is a compact and lively breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Norwich Terrier is an intelligent and friendly breed, and it makes a great family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",15,12,6,5,6,5,False
Nova Scotia Duck Tolling Retriever,"The Nova Scotia Duck Tolling Retriever is a medium-sized breed of gun dog that originated in Nova Scotia. It is an active and energetic breed, with a short, wavy coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Nova Scotia Duck Tolling Retriever is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,16,13,16,13,False
Old English Sheepdog,"The Old English Sheepdog is a large breed of herding dog from England. These dogs are large in size, with a thick double coat of fur to protect them from the cold. They have a gentle and affectionate demeanor, making them excellent companion and working dogs. They are highly trainable and intelligent, with an instinct to herd and protect their family and property. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.",12,10,50,40,45,35,False
Otterhound,"The Otterhound is a large and athletic breed of dog that was originally bred in England for hunting otters. They are intelligent, playful, and affectionate, and make excellent companion dogs.",10,8,45,30,45,30,False
Papillon,"The Papillon is a small toy breed that originated in France. It is an active and intelligent breed that is friendly and outgoing. The Papillon stands between 8-11 inches at the shoulder and has a long, silky coat that can come in various colors and patterns.",15,12,4,3,4,3,False
Parson Russell Terrier,"The Parson Russell Terrier is a small and energetic breed of dog that was originally bred for hunting small game. They are intelligent, playful, and energetic, and make excellent companion dogs.",14,12,8,6,8,6,False
Pekingese,"The Pekingese is a small breed of dog that originated in China. It is a compact and lively breed, with a long, silky coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Pekingese is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",14,12,7,4,7,4,False
Pembroke Welsh Corgi,"The Pembroke Welsh Corgi is a small breed that originated in Wales. They have a short, thick coat, and come in a variety of colors. They are an intelligent and active breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions.",15,12,13,11,13,11,False
Perro de Presa Canario,"The Perro de Presa Canario is a large breed of dog from the Canary Islands. These dogs are large in size, with a short and thick coat of fur. They have a dignified and loyal demeanor, making them excellent guard and companion dogs. They are highly trainable and intelligent, with an instinct to protect their family and property. They are brave and alert, with an independent nature that makes them well suited for guard work.",12,10,50,40,45,35,False
Peruvian Inca Orchid,"The Peruvian Inca Orchid is a small and agile breed of dog that was originally bred in Peru for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,15,9,15,9,False
Petit Basset Griffon Vendéen,"The Petit Basset Griffon Vendéen is a small and energetic breed of dog that was originally bred in France for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",14,12,16,12,16,12,False
Pharaoh Hound,"The Pharaoh Hound is a medium-sized breed of dog that originated in Malta. It is an ancient breed that is believed to be one of the oldest domesticated breeds in the world. The Pharaoh Hound has a medium-sized body, with a muscular and well-defined chest. Its head is broad, with a long muzzle and large, erect ears. Its coat is short and smooth, and comes in shades of tan and red. The Pharaoh Hound is a loyal and affectionate breed, and it enjoys spending time with its family. It is an active breed, and it needs plenty of exercise and mental stimulation.",14,12,25,20,25,20,False
Plott,"The Plott is a medium-sized breed that originated in the United States. They are an active breed, and need plenty of exercise and mental stimulation. They have a short, thick coat, and come in a variety of colors. They are loyal and devoted to their owners, and make good family companions.",14,12,41,27,41,27,False
Pointer,"The Pointer is a medium-sized breed with a short, smooth coat and a muscular, athletic build. It is known for its keen sense of smell and its ability to point out game birds.",14,12,30,20,30,20,False
Polish Lowland Sheepdog,"The Polish Lowland Sheepdog is a medium-sized breed of dog that was originally bred in Poland for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",14,12,20,15,20,15,False
Pomeranian,"The Pomeranian is a small and playful breed of dog that was originally bred in Germany as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,12,5,2,5,2,False
Poodle (Miniature),"The Miniature Poodle is a small and agile breed of dog that was originally bred in Germany for hunting waterfowl. They are intelligent, friendly, and eager to please, and make excellent companion dogs.",16,14,7,4,7,4,False
Poodle (Standard),"The Standard Poodle is a large and graceful dog breed from Germany. They are intelligent, active, and loyal, and make great family pets. Standard Poodles have a thick, curly coat that can be any color. They are easy to train and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,30,20,30,20,False
Poodle (Toy),"The Toy Poodle is a small and intelligent breed of dog that was originally bred in Germany for hunting waterfowl. They are playful, energetic, and affectionate, and make excellent companion dogs.",16,14,4,3,4,3,True
Porcelaine,"The Porcelaine is a small and agile breed of dog that was originally bred in France for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,10,8,10,8,False
Portuguese Podengo,"The Portuguese Podengo is a small and agile breed of dog that was originally bred in Portugal for hunting small game. They are intelligent, energetic, and independent, and make excellent companion dogs.",14,12,10,5,10,5,False
Portuguese Podengo Pequeno,"The Portuguese Podengo Pequeno is a small, agile breed that is known for its keen senses, speed, and versatility. This breed is native to Portugal, where it was originally used to hunt rabbits, rats, and other small game.",15,12,6,3,6,3,False
Portuguese Pointer,"The Portuguese Pointer is a medium-sized breed that originated in Portugal. They have a short, thick coat, and come in a variety of colors. They are an active and energetic breed, and make good family companions. They are loyal and devoted to their owners, and need plenty of exercise and mental stimulation.",14,12,30,25,30,25,False
Portuguese Sheepdog,The Portuguese Sheepdog is a medium-sized herding breed that originated in Portugal. It is an intelligent and loyal breed that is friendly with people and other animals. The Portuguese Sheepdog stands between 17-21 inches at the shoulder and has a medium-length coat that can come in various colors and patterns.,14,12,30,25,30,25,False
Portuguese Water Dog,"The Portuguese Water Dog is a medium-sized working dog from Portugal. They are active, intelligent, and loyal, and make great family pets. Portuguese Water Dogs have a thick, wavy coat that can be black, brown, or white in color. They are easy to train and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,30,25,27,22,False
Pudelpointer,"The Pudelpointer is a large and athletic breed of dog that was originally bred in Germany for hunting. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,30,25,25,20,False
Pug,"The Pug is a small, playful breed that is known for its comical expression, charming personality, and loyalty. This breed is native to China, where it was originally kept as a companion and lapdog by the imperial court.",15,12,8,6,8,6,False
Puli,"The Puli is a small and agile breed of dog that was originally bred in Hungary for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",15,12,14,10,14,10,False
Pumi,"The Pumi is a small and agile breed of dog that was originally bred in Hungary for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.",15,12,16,12,16,12,False
Pyrenean Mastiff,"The Pyrenean Mastiff is a large and powerful breed of dog from the Pyrenees Mountains of Spain. They are strong, intelligent, and loyal, and make great family pets. Pyrenean Mastiffs have a thick, double coat that is usually white with black or brown markings. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",12,10,100,70,90,60,False
Pyrenean Shepherd,"The Pyrenean Shepherd is a small and agile breed of dog that was originally bred in the Pyrenees Mountains for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.",15,12,15,10,15,10,False
Rafeiro do Alentejo,"The Rafeiro do Alentejo is a large and powerful breed of dog that was originally bred in Portugal for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",14,12,60,45,60,45,False
Rat Terrier,"The Rat Terrier is a small-sized breed of dog that was originally bred for hunting rats and other small rodents. They are energetic and playful, and make excellent companion dogs.",16,14,6,2,6,2,False
Redbone Coonhound,"The Redbone Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,30,20,30,20,False
Rhodesian Ridgeback,"The Rhodesian Ridgeback is a large and athletic breed of dog that was originally bred in Zimbabwe for hunting large game. They are intelligent, independent, and loyal, and make excellent companion dogs.",14,12,41,34,41,34,False
Romanian Carpathian Shepherd,"The Romanian Carpathian Shepherd is a large, powerful dog breed that was originally bred for protecting livestock. They are known for their protective natures and strong work ethic.",14,12,65,45,60,40,False
Romanian Mioritic Shepherd Dog,"The Romanian Mioritic Shepherd Dog is a large, fluffy breed that is known for its intelligence, loyalty, and protective nature. This breed is native to the Carpathian Mountains in Romania, where it was originally used to guard flocks of sheep.",14,12,50,35,50,35,False
Rottweiler,"The Rottweiler is a large and powerful breed of dog that was originally bred in Germany for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",10,8,60,50,55,45,False
Russell Terrier,"The Russell Terrier is a small breed of terrier that originated in England. It is a lively and energetic breed, with a short, wire-haired coat. Its head is small and pointed, with small, erect ears. Its legs are short and powerful, and its tail is usually docked. The Russell Terrier is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,7,5,7,5,False
Russian Toy,"The Russian Toy is a small yet sturdy breed with a compact body and a short, smooth coat. They have a lively, active temperament and are an ideal companion for families and for those looking for a small, loyal, and loving pet. The Russian Toy is an intelligent breed that is easy to train and loves to please its owners.",14,12,3,1,3,1,False
Russian Tsvetnaya Bolonka,"The Russian Tsvetnaya Bolonka is a small and playful breed of dog that was originally bred in Russia as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,5,3,5,3,False
Saint Bernard,"The Saint Bernard is a large, powerful dog breed with a thick, long coat that is typically red and white or brown and white in color. They are known for their strength, stamina, and gentleness, and were originally bred to help monks at the Great St. Bernard Hospice in the Swiss Alps.",10,8,110,90,110,90,False
Saluki,"The Saluki is a graceful and elegant breed, originating in the Middle East. They are a sight hound, and have a long, sleek coat in a variety of colors. They are highly intelligent, and have an independent nature. They are a fast breed, and have a long stride, and can be used for racing and coursing. They are loyal and devoted to their family, and make good companions.",14,12,30,20,30,20,False
Samoyed,"The Samoyed is a large and fluffy breed of dog that was originally bred in Siberia for herding and guarding livestock. They are intelligent, friendly, and playful, and make excellent family pets.",14,12,30,20,30,20,False
Schapendoes,"The Schapendoes is a small and agile breed of dog that was originally bred in the Netherlands for herding and guarding livestock. They are intelligent, friendly, and energetic, and make excellent working dogs.",15,12,20,15,20,15,False
Schipperke,"The Schipperke is a small breed of dog from Belgium. These dogs are small in size, with a thick double coat of fur. They have a lively and energetic demeanor, with an instinct for hunting and tracking. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",17,15,7,5,7,5,False
Scottish Deerhound,"The Scottish Deerhound is a large breed of sighthound that originated in Scotland. It is a powerful and athletic breed, with a long, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Scottish Deerhound is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",10,8,50,35,50,35,False
Scottish Terrier,"The Scottish Terrier is a small, sturdy breed with a wiry coat and a distinctive beard. It is known for its independent and intelligent nature.",15,12,10,9,9,8,False
Sealyham Terrier,"The Sealyham Terrier is a small and energetic breed of dog that was originally bred in Wales for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",14,12,10,7,10,7,False
Segugio Italiano,"The Segugio Italiano is a medium-sized breed of dog that was originally bred in Italy for hunting small game. They are intelligent, athletic, and determined, and make excellent hunting dogs.",15,12,30,20,30,20,False
Shetland Sheepdog,"The Shetland Sheepdog is a small, agile breed with a long, thick coat. They have a long head and a medium-sized muzzle, with bright, alert eyes and a lively expression. Shetland Sheepdogs are known for their intelligence, eagerness to please, and devoted loyalty to their owners. They make excellent family pets and are also used in agility, obedience, and herding events.",15,12,14,9,14,9,False
Shiba Inu,"The Shiba Inu is a small and agile breed of dog that was originally bred in Japan for hunting small game. They are intelligent, independent, and alert, and make excellent companion dogs.",15,12,10,9,10,9,False
Shih Tzu,"The Shih Tzu is a small and playful breed of dog that was originally bred in China as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,7,4,7,4,False
Shikoku,"The Shikoku is a medium-sized breed of dog that was originally bred in Japan for hunting small game. They are intelligent, alert, and energetic, and make excellent companion dogs.",15,12,22,18,22,18,False
Siberian Husky,"The Siberian Husky is a medium-sized working dog from Siberia. They are known for their thick, double coat, which can be black, white, grey, or red and white in color. Siberian Huskies are friendly, outgoing, and loyal, and make great family pets. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",14,12,27,20,23,16,False
Silky Terrier,"The Silky Terrier is a small, sturdy terrier breed known for its soft, silky coat. They have a lively and alert personality, and are very loyal and affectionate towards their family. Silky Terriers are active and require regular exercise and mental stimulation to remain healthy and happy. They are intelligent and eager to please, and make great family pets.",15,12,7,5,7,5,False
Skye Terrier,"The Skye Terrier is a small breed of terrier from the Isle of Skye in Scotland. These dogs are small in size, with a long and wiry coat of fur. They have a dignified and independent demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",15,12,8,7,8,7,False
Sloughi,"The Sloughi is a large and athletic breed of dog that was originally bred in North Africa for hunting. They are intelligent, independent, and athletic, and make excellent companion dogs.",14,12,30,20,30,20,False
Slovakian Wirehaired Pointer,"The Slovakian Wirehaired Pointer is a medium-sized breed of dog that was originally bred in Slovakia for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,35,25,35,25,False
Slovensky Cuvac,"The Slovensky Cuvac is a large and powerful breed of dog that was originally bred in Slovakia for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",14,12,40,30,40,30,False
Slovensky Kopov,"The Slovensky Kopov is a medium-sized, athletic breed that is known for its keen senses, endurance, and versatility. This breed is native to Slovakia, where it was originally used for hunting and guarding.",14,12,30,20,30,20,False
Small Munsterlander,"The Small Munsterlander is a medium-sized breed with a dense, water-resistant coat. It is known for its intelligence and versatility as a hunting and working dog.",15,12,20,15,20,15,False
Smooth Fox Terrier,"The Smooth Fox Terrier is a small breed of terrier from England. These dogs are small in size, with a short and smooth coat of fur. They have a lively and energetic demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",15,12,7,6,7,6,False
Soft Coated Wheaten Terrier,"The Soft Coated Wheaten Terrier is a medium-sized breed of dog that was originally bred in Ireland for herding and guarding livestock. They are intelligent, playful, and energetic, and make excellent companion dogs.",15,12,25,18,25,18,True
